"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat"
"313","Freddie Swain","202009130atl","SEA","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","17","0","17","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6","6.0","11","11.0","6.0","0","","0","0.0","0","118.7"
"314","Greg Olsen","202009130atl","SEA","0","0","0","0","0","0","0","0","","0","0","0","0","4","4","24","1","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","19","4.8","5","1.3","4.8","0","","0","0.0","0","131.2"
"315","Hayden Hurst","202009130atl","ATL","0","0","0","0","0","0","0","0","","0","0","0","0","5","3","38","0","27","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","37","12.3","1","0.3","11.6","0","","0","0.0","0","83.7"
"316","Ito Smith","202009130atl","ATL","0","0","0","0","0","0","0","0","","1","4","0","4","3","3","2","0","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","3.0","1","1.0","0","","","-2","-0.7","4","1.3","-0.7","0","","0","0.0","0","79.2"
"317","Jacob Hollister","202009130atl","SEA","0","0","0","0","0","0","0","0","","0","0","0","0","1","1","9","0","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2.0","7","7.0","2.0","0","","0","0.0","0","104.2"
"318","Julio Jones","202009130atl","ATL","0","0","0","0","0","0","0","0","","0","0","0","0","12","9","157","0","44","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","129","14.3","28","3.1","15.7","1","9.0","2","16.7","0","116.7"
"319","Luke Stocker","202009130atl","ATL","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","5.0","0","","0","0.0","0","39.6"
"320","Matt Ryan","202009130atl","ATL","37","54","450","2","1","2","16","44","98.5","1","-1","0","-1","0","0","0","0","0","0","0","23","41.1","524","9.7","344","9.3","6.4","106","2.9","4","7.5%","5","9.4%","19","4","6","12","21.4%","0","","0","-1","-1.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Russell Gage","202009130atl","ATL","0","0","0","0","0","0","0","0","","0","0","0","0","12","9","114","0","24","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","68","7.6","46","5.1","7.4","2","4.5","1","8.3","0","104.2"
"322","Russell Wilson","202009130atl","SEA","31","35","322","4","0","3","23","38","143.1","3","29","0","28","0","0","0","0","0","1","0","15","39.5","205","5.9","162","5.2","4.6","160","5.2","1","2.9%","2","5.7%","13","4","6","13","33.3%","1","2.0","1","25","8.3","4","1.3","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Sharrod Neasman","202009130atl","ATL","0","0","0","0","0","0","0","0","","1","2","0","2","0","0","0","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2","2.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","Todd Gurley","202009130atl","ATL","0","0","0","0","0","0","0","0","","14","56","1","15","5","2","1","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","35","2.5","21","1.5","0","","0","-4","-2.0","5","2.5","0.2","0","","1","20.0","0","47.9"
"325","Travis Homer","202009130atl","SEA","0","0","0","0","0","0","0","0","","3","-1","0","1","2","2","4","0","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-2","-0.7","1","0.3","0","","","-4","-2.0","8","4.0","-2.0","0","","0","0.0","0","79.2"
"326","Tyler Lockett","202009130atl","SEA","0","0","0","0","0","0","0","0","","0","0","0","0","8","8","92","0","20","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","77","9.6","15","1.9","9.6","0","","0","0.0","0","114.6"
"327","Will Dissly","202009130atl","SEA","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","8","0","5","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1","0.5","7","3.5","0.5","0","","0","0.0","0","83.3"
"328","Amari Cooper","202009200dal","DAL","0","0","0","0","0","0","0","0","","0","0","0","0","9","6","100","0","58","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","67","11.2","33","5.5","13.3","0","","1","11.1","0","103.9"
"329","Andy Dalton","202009200dal","DAL","0","1","0","0","0","0","0","0","39.6","0","0","0","0","0","0","0","0","0","0","0","","","1","1.0","0","","0.0","0","","0","0.0%","0","0.0%","1","1","0","1","100.0%","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Blake Bell","202009200dal","DAL","0","0","0","0","0","0","0","0","","0","0","0","0","3","2","34","0","24","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","29","14.5","5","2.5","9.7","0","","0","0.0","0","104.9"
"331","Brian Hill","202009200dal","ATL","0","0","0","0","0","0","0","0","","3","14","0","10","2","2","11","0","7","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","11","3.7","3","1.0","0","","0","-2","-1.0","13","6.5","-1.0","0","","0","0.0","0","89.6"
"332","C.J. Goodwin","202009200dal","DAL","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","9.0","0","","0","0.0","0","39.6"
"333","Calvin Ridley","202009200dal","ATL","0","0","0","0","0","0","0","0","","0","0","0","0","10","7","109","2","25","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","95","13.6","14","2.0","17.0","0","","0","0.0","0","145.4"
"334","CeeDee Lamb","202009200dal","DAL","0","0","0","0","0","0","0","0","","1","9","0","9","9","6","106","0","37","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","8","8.0","1","1.0","0","","5","47","7.8","59","9.8","7.4","0","","0","0.0","0","106.7"
"335","Chris Jones","202009200dal","DAL","0","1","0","0","0","0","0","0","39.6","0","0","0","0","0","0","0","0","0","0","0","","","9","9.0","0","","0.0","0","","0","0.0%","0","0.0%","0","0","0","0","0.0%","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Dak Prescott","202009200dal","DAL","34","47","450","1","0","1","5","58","109.4","5","18","3","11","0","0","0","0","0","1","1","20","41.7","371","7.9","245","7.2","5.2","205","6.0","1","2.2%","7","15.2%","10","5","4","10","20.4%","1","11.0","3","12","2.4","6","1.2","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","Dalton Schultz","202009200dal","DAL","0","0","0","0","0","0","0","0","","0","0","0","0","10","9","88","1","18","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","38","4.2","50","5.6","4.4","0","","0","0.0","0","136.7"
"338","Darian Thompson","202009200dal","DAL","0","0","0","0","0","0","0","0","","1","3","0","3","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","3","3.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Ezekiel Elliott","202009200dal","DAL","0","0","0","0","0","0","0","0","","22","89","1","11","7","6","33","0","11","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","42","1.9","47","2.1","2","11.0","2","-9","-1.5","42","7.0","-1.3","0","","0","0.0","0","86.3"
